accession,length,expAA,First,PredHel,Topology
AT1G10660.2,len=320,ExpAA=153.72,First60=22.87,PredHel=7,Topology=o13-35i71-93o108-130i185-207o217-234i243-265o285-307i
AT1G10830.1,len=367,ExpAA=127.72,First60=0.03,PredHel=5,Topology=i93-115o138-157i169-191o211-233i336-358o
AT1G10840.1,len=337,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G11260.1,len=522,ExpAA=259.18,First60=22.92,PredHel=12,Topology=i21-43o82-104i111-130o136-158i171-193o203-222i283-305o320-342i349-371o386-408i429-448o453-475i
AT1G11320.1,len=424,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G11430.1,len=232,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT1G11580.1,len=557,ExpAA=22.42,First60=22.40,PredHel=1,Topology=i21-43o
AT1G11820.2,len=511,ExpAA=19.92,First60=19.40,PredHel=1,Topology=i7-24o
AT1G11860.1,len=408,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G11890.1,len=218,ExpAA=20.17,First60=0.01,PredHel=1,Topology=i193-212o
AT1G12000.1,len=566,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT1G12050.1,len=421,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G12110.1,len=590,ExpAA=244.64,First60=8.03,PredHel=11,Topology=o70-92i99-121o141-163i189-211o221-238i343-362o377-399i420-442o457-479i499-521o541-563i
AT1G12270.1,len=572,ExpAA=0.06,First60=0.06,PredHel=0,Topology=o
AT1G12310.1,len=148,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G12410.1,len=279,ExpAA=1.27,First60=0.00,PredHel=0,Topology=o
AT1G12640.1,len=462,ExpAA=200.94,First60=37.25,PredHel=8,Topology=i7-29o44-66i86-104o207-226i262-284o353-375i396-418o428-450i
AT1G12770.1,len=551,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G12840.1,len=375,ExpAA=0.14,First60=0.00,PredHel=0,Topology=o
AT1G12850.1,len=405,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT1G13020.1,len=549,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G13690.1,len=177,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G13900.1,len=656,ExpAA=24.85,First60=2.18,PredHel=1,Topology=o614-636i
AT1G13980.1,len=1451,ExpAA=3.06,First60=0.01,PredHel=0,Topology=o
AT1G14460.1,len=1116,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G14650.1,len=785,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G14710.1,len=601,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G14810.1,len=375,ExpAA=1.12,First60=0.18,PredHel=0,Topology=o
AT1G14870.1,len=152,ExpAA=23.13,First60=4.22,PredHel=1,Topology=o57-79i
AT1G15130.1,len=846,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G15500.1,len=618,ExpAA=231.66,First60=0.01,PredHel=11,Topology=i113-130o145-167i180-202o235-257i270-289o312-334i355-377o403-425i432-454o458-480i542-564o
AT1G15530.1,len=656,ExpAA=48.12,First60=19.42,PredHel=2,Topology=o15-37i303-325o
AT1G15690.1,len=770,ExpAA=311.55,First60=22.09,PredHel=14,Topology=o10-32i99-121o141-163i189-211o226-248i327-349o369-388i408-430o452-474i481-503o547-569i574-596o658-680i743-765o
AT1G15700.1,len=386,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G15810.1,len=419,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G15930.2,len=144,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G16740.1,len=126,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G16870.1,len=480,ExpAA=0.58,First60=0.58,PredHel=0,Topology=o
AT1G16920.1,len=216,ExpAA=0.15,First60=0.05,PredHel=0,Topology=o
AT1G17290.1,len=543,ExpAA=0.02,First60=0.01,PredHel=0,Topology=o
AT1G17620.1,len=264,ExpAA=26.15,First60=0.10,PredHel=1,Topology=i64-86o
AT1G17880.1,len=165,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G18080.1,len=327,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G18180.1,len=305,ExpAA=135.81,First60=35.91,PredHel=6,Topology=i7-29o39-57i64-86o106-128i185-204o209-231i
AT1G18210.1,len=170,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G18610.1,len=556,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT1G18630.1,len=155,ExpAA=0.08,First60=0.00,PredHel=0,Topology=o
AT1G18720.1,len=206,ExpAA=87.41,First60=22.34,PredHel=4,Topology=i25-47o67-86i93-115o152-174i
AT1G19110.1,len=754,ExpAA=0.38,First60=0.00,PredHel=0,Topology=o
AT1G19710.1,len=479,ExpAA=20.37,First60=19.89,PredHel=1,Topology=i17-39o
AT1G19835.1,len=982,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G19870.1,len=794,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G19880.1,len=538,ExpAA=0.17,First60=0.02,PredHel=0,Topology=o
AT1G19920.1,len=476,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G20050.1,len=223,ExpAA=110.82,First60=24.94,PredHel=5,Topology=o26-48i57-79o112-134i143-165o175-197i
AT1G20090.1,len=195,ExpAA=0.12,First60=0.03,PredHel=0,Topology=o
AT1G20110.1,len=601,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G20140.1,len=163,ExpAA=0.11,First60=0.00,PredHel=0,Topology=o
AT1G20200.1,len=488,ExpAA=0.23,First60=0.02,PredHel=0,Topology=o
AT1G20220.1,len=315,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G20575.1,len=246,ExpAA=4.31,First60=4.24,PredHel=0,Topology=o
AT1G20780.1,len=801,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G20960.1,len=2171,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G20970.1,len=1364,ExpAA=22.13,First60=0.00,PredHel=1,Topology=o1334-1356i
AT1G21170.1,len=1090,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT1G21880.2,len=416,ExpAA=32.57,First60=14.74,PredHel=1,Topology=i7-26o
AT1G22270.1,len=124,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G22410.1,len=527,ExpAA=1.02,First60=0.00,PredHel=0,Topology=o
AT1G22530.1,len=683,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT1G22780.1,len=152,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G22970.1,len=357,ExpAA=0.75,First60=0.00,PredHel=0,Topology=o
AT1G23110.1,len=248,ExpAA=29.82,First60=0.00,PredHel=0,Topology=o
AT1G23140.1,len=165,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G23190.1,len=583,ExpAA=0.96,First60=0.00,PredHel=0,Topology=o
AT1G23260.1,len=158,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT1G23900.1,len=876,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT1G24040.1,len=319,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G24050.1,len=188,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G24090.1,len=353,ExpAA=0.15,First60=0.13,PredHel=0,Topology=o
AT1G24360.1,len=319,ExpAA=10.23,First60=0.01,PredHel=0,Topology=o
AT1G24560.1,len=678,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G25375.1,len=524,ExpAA=17.22,First60=0.00,PredHel=1,Topology=o497-514i
AT1G25570.1,len=628,ExpAA=28.23,First60=5.54,PredHel=1,Topology=o554-576i
AT1G26120.1,len=476,ExpAA=32.27,First60=0.00,PredHel=1,Topology=i153-175o
AT1G26460.1,len=630,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G26630.1,len=159,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G26670.1,len=222,ExpAA=20.29,First60=0.00,PredHel=1,Topology=i199-218o
AT1G26740.1,len=134,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
AT1G26750.1,len=195,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G26850.1,len=616,ExpAA=21.70,First60=21.62,PredHel=1,Topology=i13-35o
AT1G26910.1,len=221,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G27090.1,len=420,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G27100.1,len=519,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G27190.1,len=601,ExpAA=30.71,First60=7.13,PredHel=1,Topology=o224-246i
AT1G27300.1,len=200,ExpAA=18.30,First60=0.00,PredHel=1,Topology=i107-124o
AT1G27310.1,len=122,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT1G27330.1,len=68,ExpAA=22.33,First60=22.03,PredHel=1,Topology=i38-60o
AT1G27400.1,len=176,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G27460.1,len=694,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT1G27930.1,len=289,ExpAA=21.95,First60=21.73,PredHel=1,Topology=i12-34o
AT1G28200.1,len=259,ExpAA=0.29,First60=0.00,PredHel=0,Topology=o
AT1G28340.1,len=626,ExpAA=24.37,First60=2.77,PredHel=1,Topology=o550-572i
AT1G28400.1,len=335,ExpAA=16.92,First60=16.92,PredHel=1,Topology=i7-25o
AT1G28490.1,len=245,ExpAA=20.74,First60=0.00,PredHel=1,Topology=o223-244i
AT1G29030.1,len=556,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G29150.1,len=419,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G29250.1,len=130,ExpAA=9.44,First60=5.11,PredHel=0,Topology=o
AT1G29470.1,len=770,ExpAA=22.40,First60=22.39,PredHel=1,Topology=i16-38o
AT1G29900.1,len=1187,ExpAA=0.73,First60=0.00,PredHel=0,Topology=o
AT1G30360.1,len=724,ExpAA=218.88,First60=22.55,PredHel=10,Topology=o5-27i85-107o149-168i365-387o416-435i456-478o508-530i572-594o616-635i640-659o
AT1G30580.1,len=394,ExpAA=0.12,First60=0.02,PredHel=0,Topology=o
AT1G30630.1,len=292,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G30690.1,len=540,ExpAA=0.19,First60=0.00,PredHel=0,Topology=o
AT1G30825.1,len=318,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT1G31180.1,len=404,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G31760.1,len=112,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G31812.1,len=92,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G31817.1,len=314,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT1G31850.1,len=603,ExpAA=21.85,First60=21.78,PredHel=1,Topology=i13-35o
AT1G32050.1,len=264,ExpAA=89.96,First60=0.00,PredHel=4,Topology=i121-143o148-170i183-205o231-253i
AT1G32090.1,len=806,ExpAA=187.77,First60=21.60,PredHel=7,Topology=o6-28i102-124o158-177i375-397o424-446i467-486o580-602i
AT1G32220.1,len=296,ExpAA=0.19,First60=0.01,PredHel=0,Topology=o
AT1G32380.1,len=400,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G32400.1,len=280,ExpAA=89.20,First60=22.11,PredHel=4,Topology=i13-35o80-102i111-133o163-185i
AT1G32860.1,len=426,ExpAA=20.83,First60=20.61,PredHel=1,Topology=i12-34o
AT1G32990.1,len=222,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G33140.1,len=194,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G33490.1,len=175,ExpAA=62.27,First60=22.44,PredHel=2,Topology=i33-55o130-152i
AT1G33810.1,len=138,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G34300.1,len=829,ExpAA=60.16,First60=23.59,PredHel=3,Topology=i13-35o61-80i422-444o
AT1G34430.1,len=465,ExpAA=1.03,First60=0.00,PredHel=0,Topology=o
AT1G34570.1,len=208,ExpAA=0.08,First60=0.00,PredHel=0,Topology=o
AT1G34750.1,len=282,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G35140.1,len=309,ExpAA=3.49,First60=3.45,PredHel=0,Topology=o
AT1G35220.1,len=1005,ExpAA=0.40,First60=0.00,PredHel=0,Topology=o
AT1G35680.1,len=220,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G35720.1,len=317,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G36180.1,len=2355,ExpAA=0.28,First60=0.26,PredHel=0,Topology=o
AT1G37130.1,len=917,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
AT1G41830.1,len=542,ExpAA=16.60,First60=16.30,PredHel=1,Topology=i7-24o
AT1G42470.1,len=1260,ExpAA=303.12,First60=0.00,PredHel=14,Topology=o258-280i347-369o596-615i628-650o660-682i703-725o735-757i807-829o849-871i1087-1109o1113-1135i1142-1164o1179-1201i1208-1230o
AT1G42550.1,len=843,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G42960.1,len=168,ExpAA=22.38,First60=0.00,PredHel=1,Topology=o71-93i
AT1G43130.1,len=261,ExpAA=47.26,First60=5.92,PredHel=2,Topology=i55-77o92-123i
AT1G43170.1,len=389,ExpAA=1.37,First60=0.00,PredHel=0,Topology=o
AT1G43800.1,len=391,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G43860.1,len=370,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G43890.1,len=212,ExpAA=0.07,First60=0.07,PredHel=0,Topology=o
AT1G44575.1,len=265,ExpAA=59.86,First60=0.00,PredHel=0,Topology=o
AT1G44960.1,len=261,ExpAA=110.01,First60=33.96,PredHel=5,Topology=o4-21i42-64o79-101i164-186o201-219i
AT1G45170.1,len=213,ExpAA=0.07,First60=0.07,PredHel=0,Topology=o
AT1G45207.2,len=555,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G45332.1,len=754,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G45688.1,len=342,ExpAA=23.12,First60=0.00,PredHel=1,Topology=i131-153o
AT1G47128.1,len=462,ExpAA=5.17,First60=5.16,PredHel=0,Topology=o
AT1G47200.1,len=180,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G47240.1,len=530,ExpAA=224.37,First60=0.00,PredHel=9,Topology=i97-119o177-196i208-225o248-270i291-313o346-368i388-405o456-478i483-505o
AT1G47550.2,len=888,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G47830.1,len=142,ExpAA=0.12,First60=0.01,PredHel=0,Topology=o
AT1G48420.1,len=401,ExpAA=3.28,First60=0.00,PredHel=0,Topology=o
AT1G48460.1,len=340,ExpAA=111.58,First60=0.00,PredHel=5,Topology=i118-140o155-177i200-222o226-248i302-324o
AT1G48630.1,len=326,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G48830.1,len=191,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G48920.1,len=557,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G49140.1,len=107,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G49300.1,len=206,ExpAA=0.05,First60=0.05,PredHel=0,Topology=o
AT1G49340.2,len=2028,ExpAA=0.13,First60=0.00,PredHel=0,Topology=o
AT1G49350.1,len=378,ExpAA=0.55,First60=0.08,PredHel=0,Topology=o
AT1G49400.1,len=116,ExpAA=0.02,First60=0.01,PredHel=0,Topology=o
AT1G49600.1,len=445,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G49740.1,len=359,ExpAA=9.22,First60=9.17,PredHel=0,Topology=o
AT1G49760.1,len=671,ExpAA=4.64,First60=4.64,PredHel=0,Topology=o
AT1G49820.1,len=420,ExpAA=0.66,First60=0.11,PredHel=0,Topology=o
AT1G50020.1,len=209,ExpAA=23.27,First60=0.00,PredHel=1,Topology=o150-172i
AT1G50250.1,len=716,ExpAA=6.98,First60=0.06,PredHel=0,Topology=o
AT1G50380.1,len=710,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G50450.1,len=428,ExpAA=5.21,First60=0.01,PredHel=0,Topology=o
AT1G50480.1,len=634,ExpAA=0.24,First60=0.00,PredHel=0,Topology=o
AT1G50670.1,len=208,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G50700.1,len=521,ExpAA=10.15,First60=0.00,PredHel=0,Topology=o
AT1G50730.1,len=923,ExpAA=27.36,First60=0.00,PredHel=1,Topology=i256-278o
AT1G50920.1,len=671,ExpAA=2.33,First60=0.00,PredHel=0,Topology=o
AT1G51110.1,len=409,ExpAA=0.09,First60=0.03,PredHel=0,Topology=o
AT1G51160.1,len=169,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G51510.1,len=202,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G51540.1,len=415,ExpAA=25.89,First60=25.31,PredHel=1,Topology=i7-29o
AT1G51560.1,len=392,ExpAA=0.65,First60=0.00,PredHel=0,Topology=o
AT1G51630.1,len=423,ExpAA=16.34,First60=16.31,PredHel=1,Topology=i7-26o
AT1G51650.1,len=70,ExpAA=2.86,First60=2.86,PredHel=0,Topology=o
AT1G51710.1,len=482,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G52320.2,len=798,ExpAA=0.22,First60=0.22,PredHel=0,Topology=o
AT1G52540.1,len=350,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G52590.1,len=172,ExpAA=1.25,First60=0.01,PredHel=0,Topology=o
AT1G52600.1,len=180,ExpAA=45.14,First60=20.43,PredHel=2,Topology=o15-37i161-178o
AT1G52670.1,len=274,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G52780.1,len=1059,ExpAA=135.04,First60=21.88,PredHel=6,Topology=i5-27o742-764i771-793o819-841i869-886o986-1008i
AT1G52930.1,len=320,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT1G52980.1,len=576,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G53025.1,len=543,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G53070.1,len=272,ExpAA=15.84,First60=15.81,PredHel=1,Topology=i5-24o
AT1G53210.1,len=585,ExpAA=238.39,First60=19.63,PredHel=11,Topology=i7-26o79-101i106-128o148-170i200-222o237-259i432-451o466-488i501-523o527-549i556-578o
AT1G53310.1,len=967,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT1G53350.1,len=906,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G53645.1,len=523,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G53750.1,len=426,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G53840.1,len=586,ExpAA=22.83,First60=22.79,PredHel=1,Topology=i29-51o
AT1G53850.1,len=237,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G54100.1,len=508,ExpAA=8.40,First60=0.00,PredHel=0,Topology=o
AT1G54570.1,len=704,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
AT1G54630.1,len=136,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G54780.1,len=285,ExpAA=24.98,First60=0.01,PredHel=1,Topology=o260-282i
AT1G55820.1,len=575,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G55930.1,len=653,ExpAA=107.65,First60=0.00,PredHel=5,Topology=i103-125o159-181i205-227o232-254i278-300o
AT1G56070.1,len=843,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT1G56080.1,len=310,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G56110.1,len=522,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G56140.1,len=1033,ExpAA=43.09,First60=19.29,PredHel=2,Topology=i7-26o636-658i
AT1G56450.1,len=246,ExpAA=0.12,First60=0.01,PredHel=0,Topology=o
AT1G56500.1,len=1055,ExpAA=0.29,First60=0.00,PredHel=0,Topology=o
AT1G56580.1,len=166,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT1G57620.1,len=212,ExpAA=31.73,First60=8.78,PredHel=1,Topology=i180-202o
AT1G57720.1,len=413,ExpAA=1.01,First60=0.00,PredHel=0,Topology=o
AT1G57860.1,len=164,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G58060.1,len=1459,ExpAA=10.80,First60=0.00,PredHel=0,Topology=o
AT1G58290.1,len=543,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT1G59610.1,len=920,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT1G59710.1,len=300,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
